year,week,territory,continent,cases,deaths,population
2020,6,Croatia,Europe,0,0,4089400
2020,6,Czechia,Europe,0,0,10625695
2020,6,Denmark,Europe,0,0,5797446
2020,6,Dominican_Republic,America,0,0,10627165
2020,6,Ecuador,America,0,0,17084357
2020,6,Egypt,Africa,0,0,98423595
2020,6,Estonia,Europe,0,0,1320884
2020,6,Finland,Europe,0,0,5518050
2020,6,France,Europe,5,0,66987244
2020,6,Georgia,Europe,0,0,3731000
2020,6,Germany,Europe,2,0,82927922
2020,6,Greece,Europe,0,0,10727668
2020,6,Iceland,Europe,0,0,353574
2020,6,India,Asia,0,0,1352617328
2020,6,Indonesia,Asia,0,0,267663435
2020,6,Iran,Asia,0,0,81800269
2020,6,Iraq,Asia,0,0,38433600
2020,6,Ireland,Europe,0,0,4853506
2020,6,Israel,Asia,0,0,8883800
2020,6,Italy,Europe,0,0,60431283
2020,6,Japan,Asia,5,0,126529100
2020,6,Kuwait,Asia,0,0,4137309
2020,6,Lebanon,Asia,0,0,6848925
2020,6,Lithuania,Europe,0,0,2789533
2020,6,Luxembourg,Europe,0,0,607728
2020,6,Malaysia,Asia,10,0,31528585
2020,6,Mexico,America,0,0,126190788
2020,6,Monaco,Europe,0,0,38682
2020,6,Nepal,Asia,0,0,28087871
2020,6,Netherlands,Europe,0,0,17231017
2020,6,New_Zealand,Oceania,0,0,4885500
2020,6,Nigeria,Africa,0,0,195874740
2020,6,North_Macedonia,Europe,0,0,2082958
2020,6,Norway,Europe,0,0,5314336
2020,6,Oman,Asia,0,0,4829483
2020,6,Pakistan,Asia,0,0,212215030
2020,6,Philippines,Asia,1,0,106651922
2020,6,Qatar,Asia,0,0,2781677
2020,6,Romania,Europe,0,0,19473936
2020,6,Russia,Europe,0,0,144478050
2020,6,San_Marino,Europe,0,0,33785
2020,6,Singapore,Asia,27,0,5638676
2020,6,South_Korea,Asia,12,0,51635256
2020,6,Spain,Europe,1,0,46723749
2020,6,Sri_Lanka,Asia,0,0,21670000
2020,6,Sweden,Europe,0,0,10183175
2020,6,Switzerland,Europe,0,0,8516543
2020,6,Taiwan,Asia,8,0,23780452
2020,6,Thailand,Asia,13,0,69428524
2020,6,United_Arab_Emirates,Asia,3,0,9630959
2020,6,United_Kingdom,Europe,6,0,66488991
2020,6,United_States_of_America,America,2,0,327167434
2020,6,Vietnam,Asia,6,0,95540395
2020,7,Afghanistan,Asia,0,0,37172386
2020,7,Algeria,Africa,0,0,42228429
2020,7,Armenia,Europe,0,0,2951776
2020,7,Australia,Oceania,1,0,24992369
2020,7,Austria,Europe,0,0,8847037
2020,7,Azerbaijan,Europe,0,0,9942334
2020,7,Bahrain,Asia,0,0,1569439
2020,7,Belarus,Europe,0,0,9485386
2020,7,Belgium,Europe,0,0,11422068
2020,7,Brazil,America,0,0,209469333
2020,7,Cambodia,Asia,0,0,16249798
2020,7,Canada,America,1,0,37058856
2020,7,China,Asia,29812,852,1392730000
2020,7,Croatia,Europe,0,0,4089400
2020,7,Czechia,Europe,0,0,10625695
2020,7,Denmark,Europe,0,0,5797446
2020,7,Dominican_Republic,America,0,0,10627165
2020,7,Ecuador,America,0,0,17084357
2020,7,Egypt,Africa,1,0,98423595
2020,7,Estonia,Europe,0,0,1320884
2020,7,Finland,Europe,0,0,5518050
2020,7,France,Europe,1,1,66987244
2020,7,Georgia,Europe,0,0,3731000
2020,7,Germany,Europe,2,0,82927922
2020,7,Greece,Europe,0,0,10727668
2020,7,Iceland,Europe,0,0,353574
2020,7,India,Asia,0,0,1352617328
2020,7,Indonesia,Asia,0,0,267663435
2020,7,Iran,Asia,0,0,81800269
2020,7,Iraq,Asia,0,0,38433600
2020,7,Ireland,Europe,0,0,4853506
2020,7,Israel,Asia,0,0,8883800
2020,7,Italy,Europe,0,0,60431283
2020,7,Japan,Asia,34,1,126529100
