date,year,month,day,territory,continent,population,cases,deaths
2020-02-11,2020,2,11,Afghanistan,Asia,37172386,0,0
2020-02-10,2020,2,10,Afghanistan,Asia,37172386,0,0
2020-02-09,2020,2,9,Afghanistan,Asia,37172386,0,0
2020-02-08,2020,2,8,Afghanistan,Asia,37172386,0,0
2020-02-07,2020,2,7,Afghanistan,Asia,37172386,0,0
2020-02-06,2020,2,6,Afghanistan,Asia,37172386,0,0
2020-02-05,2020,2,5,Afghanistan,Asia,37172386,0,0
2020-02-04,2020,2,4,Afghanistan,Asia,37172386,0,0
2020-02-03,2020,2,3,Afghanistan,Asia,37172386,0,0
2020-02-02,2020,2,2,Afghanistan,Asia,37172386,0,0
2020-02-01,2020,2,1,Afghanistan,Asia,37172386,0,0
2020-01-31,2020,1,31,Afghanistan,Asia,37172386,0,0
2020-01-30,2020,1,30,Afghanistan,Asia,37172386,0,0
2020-01-29,2020,1,29,Afghanistan,Asia,37172386,0,0
2020-01-28,2020,1,28,Afghanistan,Asia,37172386,0,0
2020-01-27,2020,1,27,Afghanistan,Asia,37172386,0,0
2020-01-26,2020,1,26,Afghanistan,Asia,37172386,0,0
2020-01-25,2020,1,25,Afghanistan,Asia,37172386,0,0
2020-01-24,2020,1,24,Afghanistan,Asia,37172386,0,0
2020-01-23,2020,1,23,Afghanistan,Asia,37172386,0,0
2020-01-22,2020,1,22,Afghanistan,Asia,37172386,0,0
2020-01-21,2020,1,21,Afghanistan,Asia,37172386,0,0
2020-01-20,2020,1,20,Afghanistan,Asia,37172386,0,0
2020-01-19,2020,1,19,Afghanistan,Asia,37172386,0,0
2020-01-18,2020,1,18,Afghanistan,Asia,37172386,0,0
2020-01-17,2020,1,17,Afghanistan,Asia,37172386,0,0
2020-01-16,2020,1,16,Afghanistan,Asia,37172386,0,0
2020-01-15,2020,1,15,Afghanistan,Asia,37172386,0,0
2020-01-14,2020,1,14,Afghanistan,Asia,37172386,0,0
2020-01-13,2020,1,13,Afghanistan,Asia,37172386,0,0
2020-01-12,2020,1,12,Afghanistan,Asia,37172386,0,0
2020-01-11,2020,1,11,Afghanistan,Asia,37172386,0,0
2020-01-10,2020,1,10,Afghanistan,Asia,37172386,0,0
2020-01-09,2020,1,9,Afghanistan,Asia,37172386,0,0
2020-01-08,2020,1,8,Afghanistan,Asia,37172386,0,0
2020-01-07,2020,1,7,Afghanistan,Asia,37172386,0,0
2020-01-06,2020,1,6,Afghanistan,Asia,37172386,0,0
2020-01-05,2020,1,5,Afghanistan,Asia,37172386,0,0
2020-01-04,2020,1,4,Afghanistan,Asia,37172386,0,0
2020-01-03,2020,1,3,Afghanistan,Asia,37172386,0,0
2020-01-02,2020,1,2,Afghanistan,Asia,37172386,0,0
2020-01-01,2020,1,1,Afghanistan,Asia,37172386,0,0
2020-06-15,2020,6,15,Albania,Europe,2866376,57,0
2020-06-14,2020,6,14,Albania,Europe,2866376,48,0
2020-06-13,2020,6,13,Albania,Europe,2866376,31,1
2020-06-12,2020,6,12,Albania,Europe,2866376,44,1
2020-06-11,2020,6,11,Albania,Europe,2866376,42,0
2020-06-10,2020,6,10,Albania,Europe,2866376,36,0
2020-06-09,2020,6,9,Albania,Europe,2866376,17,0
2020-06-08,2020,6,8,Albania,Europe,2866376,14,0
2020-06-07,2020,6,7,Albania,Europe,2866376,20,1
2020-06-06,2020,6,6,Albania,Europe,2866376,15,0
2020-06-05,2020,6,5,Albania,Europe,2866376,13,0
2020-06-04,2020,6,4,Albania,Europe,2866376,20,0
2020-06-03,2020,6,3,Albania,Europe,2866376,21,0
2020-06-02,2020,6,2,Albania,Europe,2866376,6,0
2020-06-01,2020,6,1,Albania,Europe,2866376,15,0
2020-05-31,2020,5,31,Albania,Europe,2866376,23,0
2020-05-30,2020,5,30,Albania,Europe,2866376,23,0
2020-05-29,2020,5,29,Albania,Europe,2866376,26,0
2020-05-28,2020,5,28,Albania,Europe,2866376,21,0
2020-05-27,2020,5,27,Albania,Europe,2866376,25,1
2020-05-26,2020,5,26,Albania,Europe,2866376,6,0
2020-05-25,2020,5,25,Albania,Europe,2866376,9,1
2020-05-24,2020,5,24,Albania,Europe,2866376,8,0
2020-05-23,2020,5,23,Albania,Europe,2866376,12,0
2020-05-22,2020,5,22,Albania,Europe,2866376,5,0
2020-05-21,2020,5,21,Albania,Europe,2866376,15,0
2020-05-20,2020,5,20,Albania,Europe,2866376,1,0
2020-05-19,2020,5,19,Albania,Europe,2866376,2,0
2020-05-18,2020,5,18,Albania,Europe,2866376,13,0
2020-05-17,2020,5,17,Albania,Europe,2866376,17,0
2020-05-16,2020,5,16,Albania,Europe,2866376,18,0
2020-05-15,2020,5,15,Albania,Europe,2866376,18,0
2020-05-14,2020,5,14,Albania,Europe,2866376,4,0
2020-05-13,2020,5,13,Albania,Europe,2866376,4,0
2020-05-12,2020,5,12,Albania,Europe,2866376,4,0
2020-05-11,2020,5,11,Albania,Europe,2866376,12,0
2020-05-10,2020,5,10,Albania,Europe,2866376,6,0
2020-05-09,2020,5,9,Albania,Europe,2866376,8,0
2020-05-08,2020,5,8,Albania,Europe,2866376,10,0
2020-05-07,2020,5,7,Albania,Europe,2866376,12,0
2020-05-06,2020,5,6,Albania,Europe,2866376,17,0
2020-05-05,2020,5,5,Albania,Europe,2866376,8,0
2020-05-04,2020,5,4,Albania,Europe,2866376,6,0
2020-05-03,2020,5,3,Albania,Europe,2866376,7,0
2020-05-02,2020,5,2,Albania,Europe,2866376,9,0
2020-05-01,2020,5,1,Albania,Europe,2866376,7,0
2020-04-30,2020,4,30,Albania,Europe,2866376,16,1
2020-04-29,2020,4,29,Albania,Europe,2866376,14,2
2020-04-28,2020,4,28,Albania,Europe,2866376,10,0
2020-04-27,2020,4,27,Albania,Europe,2866376,14,1
2020-04-26,2020,4,26,Albania,Europe,2866376,34,0
2020-04-25,2020,4,25,Albania,Europe,2866376,15,0
2020-04-24,2020,4,24,Albania,Europe,2866376,29,0
2020-04-23,2020,4,23,Albania,Europe,2866376,25,1
2020-04-22,2020,4,22,Albania,Europe,2866376,25,0
2020-04-21,2020,4,21,Albania,Europe,2866376,22,0
2020-04-20,2020,4,20,Albania,Europe,2866376,14,0
2020-04-19,2020,4,19,Albania,Europe,2866376,9,0
2020-04-18,2020,4,18,Albania,Europe,2866376,21,0
2020-04-17,2020,4,17,Albania,Europe,2866376,24,1
2020-04-16,2020,4,16,Albania,Europe,2866376,19,1
2020-04-15,2020,4,15,Albania,Europe,2866376,8,1
2020-04-14,2020,4,14,Albania,Europe,2866376,21,0
2020-04-13,2020,4,13,Albania,Europe,2866376,13,0
2020-04-12,2020,4,12,Albania,Europe,2866376,17,0
2020-04-11,2020,4,11,Albania,Europe,2866376,7,0
2020-04-10,2020,4,10,Albania,Europe,2866376,9,1
2020-04-09,2020,4,9,Albania,Europe,2866376,17,0
2020-04-08,2020,4,8,Albania,Europe,2866376,6,0
2020-04-07,2020,4,7,Albania,Europe,2866376,16,1
2020-04-06,2020,4,6,Albania,Europe,2866376,28,2
